accession	trait	soma_target	gene_token	full_pvalue
GCST90240455	Bombesin receptor-activated protein C6orf89 levels (C6orf89.10885.36.3)	C6orf89.10885.36.3	C6orf89	True
GCST90240456	Bone morphogenetic protein 10 levels (BMP10.3587.53.2)	BMP10.3587.53.2	BMP10	True
GCST90240457	Bone morphogenetic protein 6 levels (BMP6.8459.10.3)	BMP6.8459.10.3	BMP6	True
GCST90240458	Bone morphogenetic protein 6 levels (BMP6.3736.60.3)	BMP6.3736.60.3	BMP6	True
GCST90240381	Basigin levels (BSG.3585.54.6)	BSG.3585.54.6	BSG	True
GCST90240382	Bcl-2-like protein 1 levels (BCL2L1.4423.77.2)	BCL2L1.4423.77.2	BCL2L1	True
GCST90240383	Bcl-2-like protein 2 levels (BCL2L2.13097.11.3)	BCL2L2.13097.11.3	BCL2L2	True
GCST90240384	Bcl-2-like protein 2 levels (BCL2L2.7134.14.3)	BCL2L2.7134.14.3	BCL2L2	True
GCST90240385	Bcl-2-related protein A1 levels (BCL2A1.3413.50.2)	BCL2A1.3413.50.2	BCL2A1	True
GCST90240386	Bcl10-interacting CARD protein levels (C9orf89.7778.104.3)	C9orf89.7778.104.3	C9orf89	True
GCST90240387	Bcl2-associated agonist of cell death levels (BAD.5870.23.2)	BAD.5870.23.2	BAD	True
GCST90240388	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 levels (BNIP3.7045.4.3)	BNIP3.7045.4.3	BNIP3	True
GCST90240389	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like levels (BNIP3L.7835.2.3)	BNIP3L.7835.2.3	BNIP3L	True
GCST90240390	BDNF/NT-3 growth factors receptor levels (NTRK2.4866.59.2)	NTRK2.4866.59.2	NTRK2	True
GCST90240391	Beclin-1 levels (BECN1.13032.1.3)	BECN1.13032.1.3	BECN1	True
GCST90240392	BET1-like protein levels (BET1L.10959.125.3)	BET1L.10959.125.3	BET1L	True
GCST90240393	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase levels (GCNT1.7016.12.3)	GCNT1.7016.12.3	GCNT1	True
GCST90240394	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4 levels (GCNT4.10854.15.3)	GCNT4.10854.15.3	GCNT4	True
GCST90240395	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4 levels (GCNT4.10842.7.3)	GCNT4.10842.7.3	GCNT4	True
GCST90240396	Beta-1,3-galactosyltransferase 6 levels (B3GALT6.7981.230.3)	B3GALT6.7981.230.3	B3GALT6	True
GCST90240397	Beta-1,3-glucosyltransferase levels (B3GALTL.5727.35.3)	B3GALTL.5727.35.3	B3GALTL	True
GCST90240398	Beta-1,3-N-acetylglucosaminyltransferase manic fringe levels (MFNG.5605.77.3)	MFNG.5605.77.3	MFNG	True
GCST90240399	Beta-1,3-N-acetylglucosaminyltransferase radical fringe levels (RFNG.7203.125.3)	RFNG.7203.125.3	RFNG	True
GCST90240400	Beta-1,4-galactosyltransferase 1 levels (B4GALT1.13381.49.3)	B4GALT1.13381.49.3	B4GALT1	True
GCST90240401	Beta-1,4-galactosyltransferase 2 levels (B4GALT2.9595.11.3)	B4GALT2.9595.11.3	B4GALT2	True
GCST90240402	Beta-1,4-galactosyltransferase 3 levels (B4GALT3.6921.24.3)	B4GALT3.6921.24.3	B4GALT3	True
GCST90240403	Beta-1,4-galactosyltransferase 5 levels (B4GALT5.10425.3.3)	B4GALT5.10425.3.3	B4GALT5	True
GCST90240404	Beta-1,4-galactosyltransferase 6 levels (B4GALT6.10832.24.3)	B4GALT6.10832.24.3	B4GALT6	True
GCST90240405	Beta-1,4-galactosyltransferase 7 levels (B4GALT7.7806.33.3)	B4GALT7.7806.33.3	B4GALT7	True
GCST90240406	Beta-1,4-glucuronyltransferase 1 levels (B3GNT1.8259.25.3)	B3GNT1.8259.25.3	B3GNT1	True
GCST90240407	beta-adrenergic receptor kinase 1 levels (ADRBK1.3347.9.2)	ADRBK1.3347.9.2	ADRBK1	True
GCST90240408	Beta-arrestin-1 levels (ARRB1.12643.4.3)	ARRB1.12643.4.3	ARRB1	True
GCST90240409	Beta-crystallin B2 levels (CRYBB2.10000.28.3)	CRYBB2.10000.28.3	CRYBB2	True
GCST90240410	Beta-defensin 1 levels (DEFB1.6629.3.3)	DEFB1.6629.3.3	DEFB1	True
GCST90240411	Beta-defensin 103 levels (DEFB103A.5679.16.3)	DEFB103A.5679.16.3	DEFB103A	True
GCST90240412	Beta-defensin 104 levels (DEFB104A.5763.67.3)	DEFB104A.5763.67.3	DEFB104A	True
GCST90240413	Beta-defensin 105 levels (DEFB105A.10962.46.3)	DEFB105A.10962.46.3	DEFB105A	True
GCST90240414	Beta-defensin 106 levels (DEFB106A.5664.57.3)	DEFB106A.5664.57.3	DEFB106A	True
GCST90240415	Beta-defensin 107 levels (DEFB107A.6399.52.3)	DEFB107A.6399.52.3	DEFB107A	True
GCST90240416	Beta-defensin 108B levels (DEFB108B.5611.56.3)	DEFB108B.5611.56.3	DEFB108B	True
GCST90240417	Beta-defensin 110 levels (DEFB110.8340.9.3)	DEFB110.8340.9.3	DEFB110	True
GCST90240418	Beta-defensin 112 levels (DEFB112.5689.1.3)	DEFB112.5689.1.3	DEFB112	True
GCST90240419	Beta-defensin 113 levels (DEFB113.13374.4.3)	DEFB113.13374.4.3	DEFB113	True
GCST90240420	Beta-defensin 115 levels (DEFB115.8391.12.3)	DEFB115.8391.12.3	DEFB115	True
GCST90240421	Beta-defensin 116 levels (DEFB116.11144.10.3)	DEFB116.11144.10.3	DEFB116	True
GCST90240422	Beta-defensin 118 levels (DEFB118.9306.7.3)	DEFB118.9306.7.3	DEFB118	True
GCST90240423	Beta-defensin 119 levels (DEFB119.13455.10.3)	DEFB119.13455.10.3	DEFB119	True
GCST90240459	Bone morphogenetic protein 7 levels (BMP7.2972.57.2)	BMP7.2972.57.2	BMP7	True
GCST90240460	Bone morphogenetic protein receptor type-1A levels (BMPR1A.4859.6.1)	BMPR1A.4859.6.1	BMPR1A	True
GCST90240461	Bone sialoprotein 2 levels (IBSP.14023.84.3)	IBSP.14023.84.3	IBSP	True
GCST90240462	Bone sialoprotein 2 levels (IBSP.3415.61.2)	IBSP.3415.61.2	IBSP	True
GCST90240463	BPI fold-containing family A member 1 levels (BPIFA1.6473.55.3)	BPIFA1.6473.55.3	BPIFA1	True
GCST90240464	BPI fold-containing family B member 1 levels (BPIFB1.11246.3.3)	BPIFB1.11246.3.3	BPIFB1	True
GCST90240465	Brain natriuretic peptide 32 levels (NPPB.3723.1.2)	NPPB.3723.1.2	NPPB	True
GCST90240466	Brain-derived neurotrophic factor levels (BDNF.2421.7.3)	BDNF.2421.7.3	BDNF	True
GCST90240467	Brain-specific serine protease 4 levels (PRSS22.4534.10.2)	PRSS22.4534.10.2	PRSS22	True
GCST90240468	BRCA1-associated RING domain protein 1 levels (BARD1.13977.28.3)	BARD1.13977.28.3	BARD1	True
GCST90240469	Breast cancer anti-estrogen resistance protein 3 levels (BCAR3.12634.79.3)	BCAR3.12634.79.3	BCAR3	True
GCST90240470	Brevican core protein levels (BCAN.3461.58.1)	BCAN.3461.58.1	BCAN	True
GCST90240471	BRICHOS domain-containing protein 5 levels (BRICD5.6612.90.3)	BRICD5.6612.90.3	BRICD5	True
GCST90240472	BRISC complex subunit Abro1 levels (FAM175B.8945.7.3)	FAM175B.8945.7.3	FAM175B	True
GCST90240473	Bromodomain testis-specific protein levels (BRDT.12748.6.3)	BRDT.12748.6.3	BRDT	True
GCST90240474	Bromodomain-containing protein 1 levels (BRD1.11607.15.3)	BRD1.11607.15.3	BRD1	True
GCST90240475	Brorin levels (VWC2.11121.56.3)	VWC2.11121.56.3	VWC2	True
GCST90240476	Brother of CDO levels (BOC.4328.2.2)	BOC.4328.2.2	BOC	True
GCST90240477	BTB/POZ domain-containing protein KCTD5 levels (KCTD5.12473.48.3)	KCTD5.12473.48.3	KCTD5	True
GCST90240478	Butyrophilin-like protein 9 levels (BTNL9.7950.142.3)	BTNL9.7950.142.3	BTNL9	True
GCST90240479	C-C motif chemokine 1 levels (CCL1.2770.51.2)	CCL1.2770.51.2	CCL1	True
GCST90240480	C-C motif chemokine 1 levels (CCL1.13687.5.3)	CCL1.13687.5.3	CCL1	True
GCST90240481	C-C motif chemokine 13 levels (CCL13.4144.13.1)	CCL13.4144.13.1	CCL13	True
GCST90240482	C-C motif chemokine 14 levels (CCL14.2900.53.3)	CCL14.2900.53.3	CCL14	True
GCST90240483	C-C motif chemokine 15 levels (CCL15.14109.15.3)	CCL15.14109.15.3	CCL15	True
GCST90240484	C-C motif chemokine 15 levels (CCL15.3509.1.1)	CCL15.3509.1.1	CCL15	True
GCST90240485	C-C motif chemokine 16 levels (CCL16.4913.78.1)	CCL16.4913.78.1	CCL16	True
GCST90240486	C-C motif chemokine 17 levels (CCL17.3519.3.2)	CCL17.3519.3.2	CCL17	True
GCST90240487	C-C motif chemokine 19 levels (CCL19.4922.13.1)	CCL19.4922.13.1	CCL19	True
GCST90240488	C-C motif chemokine 20 levels (CCL20.2468.62.3)	CCL20.2468.62.3	CCL20	True
GCST90240489	C-C motif chemokine 21 levels (CCL21.2516.57.3)	CCL21.2516.57.3	CCL21	True
GCST90240490	C-C motif chemokine 22 levels (CCL22.3508.78.3)	CCL22.3508.78.3	CCL22	True
GCST90240491	C-C motif chemokine 23 levels (CCL23.2913.1.2)	CCL23.2913.1.2	CCL23	True
GCST90240492	C-C motif chemokine 24 levels (CCL24.4128.27.2)	CCL24.4128.27.2	CCL24	True
GCST90240493	C-C motif chemokine 25 levels (CCL25.2705.5.2)	CCL25.2705.5.2	CCL25	True
GCST90240494	C-C motif chemokine 25 levels (CCL25.14068.29.3)	CCL25.14068.29.3	CCL25	True
GCST90240495	C-C motif chemokine 26 levels (CCL26.9168.31.3)	CCL26.9168.31.3	CCL26	True
GCST90240120	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial levels (PDK2.12651.21.3)	acetyl-transferring	acetyl-transferring	True
GCST90240121	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 levels (PLCG1.4563.61.2)	PLCG1.4563.61.2	PLCG1	True
GCST90240122	14-3-3 protein epsilon levels (YWHAE.14157.21.3)	YWHAE.14157.21.3	YWHAE	True
GCST90240123	14-3-3 protein family levels (YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN.4707.50.2)	YWHAB.YWHAE.YWHAG.YWHAH.YWHAQ.YWHAZ.SFN.4707.50.2	YWHAB	True
GCST90240124	14-3-3 protein sigma levels (SFN.4829.43.6)	SFN.4829.43.6	SFN	True
GCST90240125	14-3-3 protein theta levels (YWHAQ.7625.27.3)	YWHAQ.7625.27.3	YWHAQ	True
GCST90240126	14-3-3 protein zeta/delta levels (YWHAZ.5858.6.5)	YWHAZ.5858.6.5	YWHAZ	True
GCST90240127	15-hydroxyprostaglandin dehydrogenase [NAD(+)] levels (HPGD.4995.16.1)	+	+	True
GCST90240128	17-beta-hydroxysteroid dehydrogenase 14 levels (HSD17B14.13972.4.3)	HSD17B14.13972.4.3	HSD17B14	True
GCST90240129	2-phosphoxylose phosphatase 1 levels (ACPL2.6079.59.3)	ACPL2.6079.59.3	ACPL2	True
GCST90240130	2'-5'-oligoadenylate synthase 1 levels (OAS1.10361.25.3)	OAS1.10361.25.3	OAS1	True
GCST90240131	2',3'-cyclic-nucleotide 3'-phosphodiesterase levels (CNP.6609.22.3)	CNP.6609.22.3	CNP	True
GCST90240132	26S proteasome non-ATPase regulatory subunit 1 levels (PSMD1.8824.2.3)	PSMD1.8824.2.3	PSMD1	True
GCST90240133	26S proteasome non-ATPase regulatory subunit 11 levels (PSMD11.13572.43.3)	PSMD11.13572.43.3	PSMD11	True
GCST90240134	26S proteasome non-ATPase regulatory subunit 4 levels (PSMD4.13568.30.3)	PSMD4.13568.30.3	PSMD4	True
GCST90240135	26S proteasome non-ATPase regulatory subunit 5 levels (PSMD5.10716.35.3)	PSMD5.10716.35.3	PSMD5	True
GCST90240136	26S proteasome non-ATPase regulatory subunit 7 levels (PSMD7.3898.5.2)	PSMD7.3898.5.2	PSMD7	True
GCST90240137	3-hydroxy-3-methylglutaryl-coenzyme A reductase levels (HMGCR.5230.99.3)	HMGCR.5230.99.3	HMGCR	True
GCST90240138	3-hydroxyacyl-CoA dehydrogenase type-2 levels (HSD17B10.4217.49.3)	HSD17B10.4217.49.3	HSD17B10	True
GCST90240139	3-hydroxyanthranilate 3,4-dioxygenase levels (HAAO.5861.78.3)	HAAO.5861.78.3	HAAO	True
GCST90240140	3-mercaptopyruvate sulfurtransferase levels (MPST.12686.15.3)	MPST.12686.15.3	MPST	True
GCST90240141	39S ribosomal protein L14, mitochondrial levels (MRPL14.8021.59.3)	MRPL14.8021.59.3	MRPL14	True
GCST90240142	39S ribosomal protein L14, mitochondrial levels (MRPL32.7982.10.3)	MRPL32.7982.10.3	MRPL32	True
GCST90240143	39S ribosomal protein L33, mitochondrial levels (MRPL33.13453.2.3)	MRPL33.13453.2.3	MRPL33	True
GCST90240144	39S ribosomal protein L34, mitochondrial levels (MRPL34.6933.20.3)	MRPL34.6933.20.3	MRPL34	True
GCST90240145	39S ribosomal protein L52, mitochondrial levels (MRPL52.7123.25.3)	MRPL52.7123.25.3	MRPL52	True
GCST90240146	4-hydroxy-2-oxoglutarate aldolase, mitochondrial levels (HOGA1.10024.44.3)	HOGA1.10024.44.3	HOGA1	True
GCST90240147	40S ribosomal protein S3 levels (RPS3.5026.66.1)	RPS3.5026.66.1	RPS3	True
GCST90240148	40S ribosomal protein S3a levels (RPS3A.5484.63.3)	RPS3A.5484.63.3	RPS3A	True
GCST90240149	40S ribosomal protein S4, X isoform levels (RPS4X.9758.17.3)	RPS4X.9758.17.3	RPS4X	True
GCST90240150	40S ribosomal protein S7 levels (RPS7.3864.5.2)	RPS7.3864.5.2	RPS7	True
GCST90240151	40S ribosomal protein SA levels (RPSA.4957.1.2)	RPSA.4957.1.2	RPSA	True
GCST90240152	5-formyltetrahydrofolate cyclo-ligase levels (MTHFS.14107.1.3)	MTHFS.14107.1.3	MTHFS	True
GCST90240153	5'-Nucleotidase levels (NT5E.6993.8.3)	NT5E.6993.8.3	NT5E	True
GCST90240154	5'(3')-deoxyribonucleotidase, cytosolic type levels (NT5C.12560.9.3)	3'	3'	True
GCST90240155	6-pyruvoyl tetrahydrobiopterin synthase levels (PTS.12014.19.3)	PTS.12014.19.3	PTS	True
GCST90240156	60S acidic ribosomal protein P2 levels (RPLP2.10949.59.3)	RPLP2.10949.59.3	RPLP2	True
GCST90240157	60S ribosomal protein L30 levels (RPL30.12478.15.3)	RPL30.12478.15.3	RPL30	True
GCST90240158	72 kDa inositol polyphosphate 5-phosphatase levels (INPP5E.11370.20.3)	INPP5E.11370.20.3	INPP5E	True
GCST90240159	72 kDa type IV collagenase levels (MMP2.4160.49.1)	MMP2.4160.49.1	MMP2	True
GCST90240160	A disintegrin and metalloproteinase with thrombospondin motifs 1 levels (ADAMTS1.3174.2.1)	ADAMTS1.3174.2.1	ADAMTS1	True
GCST90240161	A disintegrin and metalloproteinase with thrombospondin motifs 13 levels (ADAMTS13.3175.51.5)	ADAMTS13.3175.51.5	ADAMTS13	True
GCST90240162	A disintegrin and metalloproteinase with thrombospondin motifs 15 levels (ADAMTS15.4533.76.2)	ADAMTS15.4533.76.2	ADAMTS15	True
GCST90240163	A disintegrin and metalloproteinase with thrombospondin motifs 3 levels (ADAMTS3.8845.2.3)	ADAMTS3.8845.2.3	ADAMTS3	True
GCST90240164	A disintegrin and metalloproteinase with thrombospondin motifs 4 levels (ADAMTS4.2809.25.2)	ADAMTS4.2809.25.2	ADAMTS4	True
GCST90240165	A disintegrin and metalloproteinase with thrombospondin motifs 5 levels (ADAMTS5.3168.8.2)	ADAMTS5.3168.8.2	ADAMTS5	True
GCST90240166	A disintegrin and metalloproteinase with thrombospondin motifs 6 levels (ADAMTS6.6441.62.3)	ADAMTS6.6441.62.3	ADAMTS6	True
GCST90240167	A/G-specific adenine DNA glycosylase levels (MUTYH.10030.8.3)	MUTYH.10030.8.3	MUTYH	True
GCST90240168	AarF domain-containing protein kinase 4 levels (ADCK4.9794.17.3)	ADCK4.9794.17.3	ADCK4	True
GCST005806	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial levels (PDK1.5227.60.3)	acetyl-transferring	acetyl-transferring	True
GCST90240169	Abelson tyrosine-protein kinase 2 levels (ABL2.5261.13.3)	ABL2.5261.13.3	ABL2	True
GCST90240170	Acetyl-CoA carboxylase 2 levels (ACACB.12900.29.3)	ACACB.12900.29.3	ACACB	True
GCST90240171	Acid ceramidase levels (ASAH1.5748.20.3)	ASAH1.5748.20.3	ASAH1	True
GCST90240325	Arachidonate 15-lipoxygenase B levels (ALOX15B.12422.143.3)	ALOX15B.12422.143.3	ALOX15B	True
GCST90240326	Arf-GAP domain and FG repeat-containing protein 1 levels (AGFG1.11681.8.3)	AGFG1.11681.8.3	AGFG1	True
GCST90240327	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 levels (ACAP2.12343.14.3)	ACAP2.12343.14.3	ACAP2	True
GCST90240328	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 levels (ASAP2.13518.5.3)	ASAP2.13518.5.3	ASAP2	True
GCST90240329	Arfaptin-1 levels (ARFIP1.13488.3.3)	ARFIP1.13488.3.3	ARFIP1	True
GCST90240330	Arfaptin-2 levels (ARFIP2.12630.8.3)	ARFIP2.12630.8.3	ARFIP2	True
GCST90240331	Arginine/serine-rich protein 1 levels (RSRP1.9050.170.3)	RSRP1.9050.170.3	RSRP1	True
GCST90240332	Argininosuccinate lyase levels (ASL.11241.8.3)	ASL.11241.8.3	ASL	True
GCST90240333	Armadillo repeat-containing protein 5 levels (ARMC5.8785.1.3)	ARMC5.8785.1.3	ARMC5	True
GCST90240334	Armadillo repeat-containing protein 5 levels (ARMC5.8816.44.3)	ARMC5.8816.44.3	ARMC5	True
GCST90240335	Armadillo repeat-containing protein 5 levels (ARMC5.9945.8.3)	ARMC5.9945.8.3	ARMC5	True
GCST90240336	Aromatic-L-amino-acid decarboxylase levels (DDC.3538.26.1)	DDC.3538.26.1	DDC	True
GCST90240337	Arrestin domain-containing protein 3 levels (ARRDC3.12352.70.3)	ARRDC3.12352.70.3	ARRDC3	True
GCST90240338	Artemin levels (ARTN.2939.10.2)	ARTN.2939.10.2	ARTN	True
GCST90240339	Arylamine N-acetyltransferase 1 levels (NAT1.12632.14.3)	NAT1.12632.14.3	NAT1	True
GCST90240340	Arylsulfatase A levels (ARSA.3583.54.4)	ARSA.3583.54.4	ARSA	True
GCST90240341	Arylsulfatase B levels (ARSB.3172.28.2)	ARSB.3172.28.2	ARSB	True
GCST90240342	Arylsulfatase K levels (ARSK.8269.327.3)	ARSK.8269.327.3	ARSK	True
GCST90240343	Asialoglycoprotein receptor 1 levels (ASGR1.5452.71.3)	ASGR1.5452.71.3	ASGR1	True
GCST90240344	Asialoglycoprotein receptor 2 levels (ASGR2.9474.22.3)	ASGR2.9474.22.3	ASGR2	True
GCST90240345	Aspartate aminotransferase, cytoplasmic levels (GOT1.4912.17.1)	GOT1.4912.17.1	GOT1	True
GCST90240346	Aspartyl/asparaginyl beta-hydroxylase levels (ASPH.6998.106.3)	ASPH.6998.106.3	ASPH	True
GCST90240347	Asporin levels (ASPN.6451.64.3)	ASPN.6451.64.3	ASPN	True
GCST90240348	Astacin-like metalloendopeptidase levels (ASTL.7993.23.3)	ASTL.7993.23.3	ASTL	True
GCST90240349	AT-rich interactive domain-containing protein 3A levels (ARID3A.3875.62.1)	ARID3A.3875.62.1	ARID3A	True
GCST90240350	ATP synthase subunit beta, mitochondrial levels (ATP5B.4965.27.1)	ATP5B.4965.27.1	ATP5B	True
GCST90240351	ATP-citrate synthase levels (ACLY.12700.9.3)	ACLY.12700.9.3	ACLY	True
GCST90240496	C-C motif chemokine 27 levels (CCL27.2192.63.10)	CCL27.2192.63.10	CCL27	True
GCST90240497	C-C motif chemokine 28 levels (CCL28.2890.59.2)	CCL28.2890.59.2	CCL28	True
GCST90240498	C-C motif chemokine 3 levels (CCL3.3040.59.1)	CCL3.3040.59.1	CCL3	True
GCST90240499	C-C motif chemokine 3-like 1 levels (CCL3L1.2783.18.2)	CCL3L1.2783.18.2	CCL3L1	True
GCST90240500	C-C motif chemokine 5 levels (CCL5.5480.49.3)	CCL5.5480.49.3	CCL5	True
GCST90240501	C-C motif chemokine 7 levels (CCL7.4886.3.1)	CCL7.4886.3.1	CCL7	True
GCST90240502	C-C motif chemokine 8 levels (CCL8.2785.15.2)	CCL8.2785.15.2	CCL8	True
GCST90240503	C-reactive protein levels (CRP.4337.49.2)	CRP.4337.49.2	CRP	True
GCST90240504	C-type lectin domain family 10 member A levels (CLEC10A.10955.4.3)	CLEC10A.10955.4.3	CLEC10A	True
GCST90240505	C-type lectin domain family 12 member A levels (CLEC12A.11187.11.3)	CLEC12A.11187.11.3	CLEC12A	True
GCST90240506	C-type lectin domain family 14 member A levels (CLEC14A.10461.57.3)	CLEC14A.10461.57.3	CLEC14A	True
GCST90240507	C-type lectin domain family 2 member A levels (CLEC2A.10953.14.3)	CLEC2A.10953.14.3	CLEC2A	True
GCST90240508	C-type lectin domain family 2 member B levels (CLEC2B.7786.83.3)	CLEC2B.7786.83.3	CLEC2B	True
GCST90240509	C-type lectin domain family 2 member D levels (CLEC2D.7054.87.3)	CLEC2D.7054.87.3	CLEC2D	True
GCST90240510	C-type lectin domain family 2 member L levels (CLEC2L.8242.9.3)	CLEC2L.8242.9.3	CLEC2L	True
GCST90240511	C-type lectin domain family 4 member D levels (CLEC4D.7752.31.3)	CLEC4D.7752.31.3	CLEC4D	True
GCST90240512	C-type lectin domain family 4 member E levels (CLEC4E.7077.9.4)	CLEC4E.7077.9.4	CLEC4E	True
GCST90240513	C-type lectin domain family 4 member K levels (CD207.3361.26.2)	CD207.3361.26.2	CD207	True
GCST90240514	C-type lectin domain family 4 member M levels (CLEC4M.3030.3.2)	CLEC4M.3030.3.2	CLEC4M	True
GCST90240515	C-type lectin domain family 5 member A levels (CLEC5A.8282.15.3)	CLEC5A.8282.15.3	CLEC5A	True
GCST90240516	C-type lectin domain family 6 member A levels (CLEC6A.6911.103.3)	CLEC6A.6911.103.3	CLEC6A	True
GCST90240517	C-type lectin domain family 7 member A levels (CLEC7A.3603.60.5)	CLEC7A.3603.60.5	CLEC7A	True
GCST90240518	C-type lectin-like domain family 1 levels (CLECL1.14308.192.3)	CLECL1.14308.192.3	CLECL1	True
GCST90240519	C-type mannose receptor 2 levels (MRC2.3041.55.2)	MRC2.3041.55.2	MRC2	True
GCST90240520	C-X-C motif chemokine 10 levels (CXCL10.4141.79.1)	CXCL10.4141.79.1	CXCL10	True
GCST90240521	C-X-C motif chemokine 11 levels (CXCL11.3038.9.2)	CXCL11.3038.9.2	CXCL11	True
GCST90240522	C-X-C motif chemokine 13 levels (CXCL13.3487.32.2)	CXCL13.3487.32.2	CXCL13	True
GCST90240523	C-X-C motif chemokine 14 levels (CXCL14.5730.60.3)	CXCL14.5730.60.3	CXCL14	True
GCST90240524	C-X-C motif chemokine 16 levels (CXCL16.2436.49.4)	CXCL16.2436.49.4	CXCL16	True
GCST90240525	C-X-C motif chemokine 5 levels (CXCL5.2979.8.2)	CXCL5.2979.8.2	CXCL5	True
GCST90240526	C-X-C motif chemokine 9 levels (CXCL9.9188.119.3)	CXCL9.9188.119.3	CXCL9	True
GCST90240527	C-X-C motif chemokine 9 levels (CXCL9.11593.21.3)	CXCL9.11593.21.3	CXCL9	True
GCST90240528	C1GALT1-specific chaperone 1 levels (C1GALT1C1.5735.54.3)	C1GALT1C1.5735.54.3	C1GALT1C1	True
GCST90240529	C3a anaphylatoxin des Arginine levels (C3.2755.8.2)	C3.2755.8.2	C3	True
GCST90240530	Cadherin-1 levels (CDH1.2501.51.3)	CDH1.2501.51.3	CDH1	True
GCST90240531	Cadherin-12 levels (CDH12.10701.30.3)	CDH12.10701.30.3	CDH12	True
