accession	trait	soma_target	gene_token	full_pvalue	gene_token_u
GCST90241397	Hepatocyte growth factor levels (HGF.2681.23.2)	HGF.2681.23.2	HGF	True	HGF
GCST90241539	Intercellular adhesion molecule 3 levels (ICAM3.2649.77.2)	ICAM3.2649.77.2	ICAM3	True	ICAM3
GCST90241556	Interferon gamma receptor 2 levels (IFNGR2.9180.6.3)	IFNGR2.9180.6.3	IFNGR2	True	IFNGR2
GCST90241557	Interferon gamma receptor 2 levels (IFNGR2.8818.13.3)	IFNGR2.8818.13.3	IFNGR2	True	IFNGR2
GCST90241558	Interferon gamma receptor 2 levels (IFNGR2.9305.89.3)	IFNGR2.9305.89.3	IFNGR2	True	IFNGR2
GCST90241513	Insulin-like growth factor 1 receptor levels (IGF1R.4232.19.2)	IGF1R.4232.19.2	IGF1R	True	IGF1R
GCST90240631	Cation-independent mannose-6-phosphate receptor levels (IGF2R.3676.15.3)	IGF2R.3676.15.3	IGF2R	True	IGF2R
GCST90241583	Interleukin-10 levels (IL10.2773.50.2)	IL10.2773.50.2	IL10	True	IL10
GCST90241590	Interleukin-12 receptor subunit beta-1 levels (IL12RB1.2632.5.2)	IL12RB1.2632.5.2	IL12RB1	True	IL12RB1
GCST90241591	Interleukin-12 receptor subunit beta-2 levels (IL12RB2.3815.14.1)	IL12RB2.3815.14.1	IL12RB2	True	IL12RB2
GCST90241607	Interleukin-18 receptor 1 levels (IL18R1.3446.7.2)	IL18R1.3446.7.2	IL18R1	True	IL18R1
GCST90241608	Interleukin-18 receptor 1 levels (IL18R1.14079.14.3)	IL18R1.14079.14.3	IL18R1	True	IL18R1
GCST90241578	Interleukin-1 receptor type 1 levels (IL1R1.2991.9.2)	IL1R1.2991.9.2	IL1R1	True	IL1R1
GCST90241581	Interleukin-1 receptor-like 1 levels (IL1RL1.4234.8.2)	IL1RL1.4234.8.2	IL1RL1	True	IL1RL1
GCST90241577	Interleukin-1 receptor antagonist protein levels (IL1RN.5353.89.2)	IL1RN.5353.89.2	IL1RN	True	IL1RN
GCST90241624	Interleukin-24 levels (IL24.3321.2.2)	IL24.3321.2.2	IL24	True	IL24
GCST90241612	Interleukin-2 receptor subunit alpha levels (IL2RA.3151.6.1)	IL2RA.3151.6.1	IL2RA	True	IL2RA
GCST90241613	Interleukin-2 receptor subunit beta levels (IL2RB.9343.16.3)	IL2RB.9343.16.3	IL2RB	True	IL2RB
GCST90241639	Interleukin-4 levels (IL4.2906.55.3)	IL4.2906.55.3	IL4	True	IL4
GCST90241640	Interleukin-4 receptor subunit alpha levels (IL4R.3055.54.2)	IL4R.3055.54.2	IL4R	True	IL4R
GCST90241645	Interleukin-6 levels (IL6.2573.20.15)	IL6.2573.20.15	IL6	True	IL6
GCST90241646	Interleukin-6 levels (IL6.4673.13.2)	IL6.4673.13.2	IL6	True	IL6
GCST90241649	Interleukin-6 receptor subunit beta levels (IL6ST.2620.4.2)	IL6ST.2620.4.2	IL6ST	True	IL6ST
GCST90241651	Interleukin-7 receptor subunit alpha levels (IL7R.5089.11.3)	IL7R.5089.11.3	IL7R	True	IL7R
GCST90240986	Dyslexia-associated protein KIAA0319 levels (KIAA0319.10013.34.3)	KIAA0319.10013.34.3	KIAA0319	True	KIAA0319
GCST90241690	Keratin, type I cytoskeletal 18 levels (KRT18.5354.11.3)	KRT18.5354.11.3	KRT18	True	KRT18
GCST90241741	Layilin levels (LAYN.2635.61.2)	LAYN.2635.61.2	LAYN	True	LAYN
GCST90242101	Neutrophil gelatinase-associated lipocalin levels (LCN2.2836.68.2)	LCN2.2836.68.2	LCN2	True	LCN2
GCST90241817	Low-density lipoprotein receptor levels (LDLR.13129.40.3)	LDLR.13129.40.3	LDLR	True	LDLR
GCST90241786	Leukemia inhibitory factor levels (LIF.7790.21.3)	LIF.7790.21.3	LIF	True	LIF
GCST90241794	Leukocyte immunoglobulin-like receptor subfamily B member 2 levels (LILRB2.5633.65.3)	LILRB2.5633.65.3	LILRB2	True	LILRB2
GCST90241795	Leukocyte immunoglobulin-like receptor subfamily B member 2 levels (LILRB2.5091.28.3)	LILRB2.5091.28.3	LILRB2	True	LILRB2
GCST90241818	Low-density lipoprotein receptor-related protein 1, soluble levels (LRP1.8601.167.3)	LRP1.8601.167.3	LRP1	True	LRP1
GCST90241819	Low-density lipoprotein receptor-related protein 1, soluble levels (LRP1.9182.3.3)	LRP1.9182.3.3	LRP1	True	LRP1
GCST90242394	Prolow-density lipoprotein receptor-related protein 1 levels (LRP1.10699.52.3)	LRP1.10699.52.3	LRP1	True	LRP1
GCST90243176	Tumor necrosis factor receptor superfamily member 3 levels (LTBR.2636.10.2)	LTBR.2636.10.2	LTBR	True	LTBR
GCST90241827	Ly6/PLAUR domain-containing protein 3 levels (LYPD3.13107.9.3)	LYPD3.13107.9.3	LYPD3	True	LYPD3
GCST90241877	MAP kinase-activated protein kinase 2 levels (MAPKAPK2.3820.68.2)	MAPKAPK2.3820.68.2	MAPKAPK2	True	MAPKAPK2
GCST90241896	Matrix-remodeling-associated protein 8 levels (MXRA8.10521.10.3)	MXRA8.10521.10.3	MXRA8	True	MXRA8
GCST90241897	Matrix-remodeling-associated protein 8 levels (MXRA8.7002.1.3)	MXRA8.7002.1.3	MXRA8	True	MXRA8
GCST90242482	Protein kinase C-binding protein NELL2 levels (NELL2.6022.57.3)	NELL2.6022.57.3	NELL2	True	NELL2
GCST90243163	Tumor necrosis factor receptor superfamily member 16 levels (NGFR.8949.3.3)	NGFR.8949.3.3	NGFR	True	NGFR
GCST90243164	Tumor necrosis factor receptor superfamily member 16 levels (NGFR.8374.5.3)	NGFR.8374.5.3	NGFR	True	NGFR
GCST90242058	Neural proliferation differentiation and control protein 1 levels (NPDC1.10424.31.3)	NPDC1.10424.31.3	NPDC1	True	NPDC1
GCST90240153	5'-Nucleotidase levels (NT5E.6993.8.3)	NT5E.6993.8.3	NT5E	True	NT5E
GCST90242385	Programmed cell death protein 1 levels (PDCD1.9227.15.3)	PDCD1.9227.15.3	PDCD1	True	PDCD1
GCST90242384	Programmed cell death 1 ligand 2 levels (PDCD1LG2.3004.67.2)	PDCD1LG2.3004.67.2	PDCD1LG2	True	PDCD1LG2
GCST90242294	Platelet-derived growth factor subunit B levels (PDGFB.4149.8.2)	PDGFB.4149.8.2	PDGFB	True	PDGFB
GCST90242192	Paired immunoglobulin-like type 2 receptor alpha levels (PILRA.8683.119.3)	PILRA.8683.119.3	PILRA	True	PILRA
GCST90242193	Paired immunoglobulin-like type 2 receptor alpha levels (PILRA.8825.4.3)	PILRA.8825.4.3	PILRA	True	PILRA
GCST90243298	Urokinase-type plasminogen activator levels (PLAU.4158.54.2)	PLAU.4158.54.2	PLAU	True	PLAU
GCST90243297	Urokinase plasminogen activator surface receptor levels (PLAUR.2652.15.1)	PLAUR.2652.15.1	PLAUR	True	PLAUR
GCST90240546	Calcineurin subunit B type 1 levels (PPP3R1.3657.74.3)	PPP3R1.3657.74.3	PPP3R1	True	PPP3R1
GCST90240179	Activated Protein C levels (PROC.3758.63.3)	PROC.3758.63.3	PROC	True	PROC
GCST90240180	Activated Protein C levels (PROC.3758.68.3)	PROC.3758.68.3	PROC	True	PROC
GCST90241987	Myeloblastin levels (PRTN3.3514.49.2)	PRTN3.3514.49.2	PRTN3	True	PRTN3
GCST90241988	Myeloblastin levels (PRTN3.13720.95.3)	PRTN3.13720.95.3	PRTN3	True	PRTN3
GCST90242302	Poliovirus receptor levels (PVR.8064.125.3)	PVR.8064.125.3	PVR	True	PVR
GCST90243044	Transcription factor RelB levels (RELB.11464.9.3)	RELB.11464.9.3	RELB	True	RELB
GCST90242633	Reticulon-4 receptor levels (RTN4R.5105.2.3)	RTN4R.5105.2.3	RTN4R	True	RTN4R
GCST90240942	DNA-binding protein SATB1 levels (SATB1.13511.29.3)	SATB1.13511.29.3	SATB1	True	SATB1
GCST90242187	P-selectin levels (SELP.4154.57.2)	SELP.4154.57.2	SELP	True	SELP
GCST90242274	Plasma protease C1 inhibitor levels (SERPING1.4479.14.2)	SERPING1.4479.14.2	SERPING1	True	SERPING1
GCST90240258	Alpha-synuclein levels (SNCA.8458.111.3)	SNCA.8458.111.3	SNCA	True	SNCA
GCST90240259	Alpha-synuclein levels (SNCA.8458.16.3)	SNCA.8458.16.3	SNCA	True	SNCA
GCST90242862	Sortilin levels (SORT1.11300.32.3)	SORT1.11300.32.3	SORT1	True	SORT1
GCST90242766	Serine protease inhibitor Kazal-type 8 levels (SPINK8.7962.11.3)	SPINK8.7962.11.3	SPINK8	True	SPINK8
GCST90242931	Switch-associated protein 70 levels (SWAP70.13552.7.3)	SWAP70.13552.7.3	SWAP70	True	SWAP70
GCST90243017	Thyroglobulin levels (TG.4165.2.1)	TG.4165.2.1	TG	True	TG
GCST90243056	Transforming growth factor alpha levels (TGFA.9358.3.3)	TGFA.9358.3.3	TGFA	True	TGFA
GCST90243060	Transforming growth factor beta-2 levels (TGFB2.4156.74.1)	TGFB2.4156.74.1	TGFB2	True	TGFB2
GCST90243028	Toll-like receptor 1 levels (TLR1.11149.3.3)	TLR1.11149.3.3	TLR1	True	TLR1
GCST90243030	Toll-like receptor 4 levels (TLR4.11101.18.3)	TLR4.11101.18.3	TLR4	True	TLR4
GCST90243031	Toll-like receptor 4:Lymphocyte antigen 96 complex levels (TLR4.LY96.3647.49.4)	TLR4.LY96.3647.49.4	TLR4	True	TLR4
GCST90243162	Tumor necrosis factor receptor superfamily member 14 levels (TNFRSF14.5352.11.3)	TNFRSF14.5352.11.3	TNFRSF14	True	TNFRSF14
GCST90243170	Tumor necrosis factor receptor superfamily member 1A levels (TNFRSF1A.2654.19.1)	TNFRSF1A.2654.19.1	TNFRSF1A	True	TNFRSF1A
GCST90243171	Tumor necrosis factor receptor superfamily member 1B levels (TNFRSF1B.8368.102.3)	TNFRSF1B.8368.102.3	TNFRSF1B	True	TNFRSF1B
GCST90243172	Tumor necrosis factor receptor superfamily member 1B levels (TNFRSF1B.3152.57.1)	TNFRSF1B.3152.57.1	TNFRSF1B	True	TNFRSF1B
GCST90243177	Tumor necrosis factor receptor superfamily member 4 levels (TNFRSF4.3730.81.2)	TNFRSF4.3730.81.2	TNFRSF4	True	TNFRSF4
GCST90243141	Tumor necrosis factor ligand superfamily member 12 levels (TNFSF12.5939.42.3)	TNFSF12.5939.42.3	TNFSF12	True	TNFSF12
GCST90243143	Tumor necrosis factor ligand superfamily member 14 levels (TNFSF14.5355.69.3)	TNFSF14.5355.69.3	TNFSF14	True	TNFSF14
GCST90243234	Ubiquitin-conjugating enzyme E2 B levels (UBE2B.9865.40.3)	UBE2B.9865.40.3	UBE2B	True	UBE2B
GCST90241835	Lymphotactin levels (XCL1.14078.69.3)	XCL1.14078.69.3	XCL1	True	XCL1
GCST90241836	Lymphotactin levels (XCL1.4143.74.2)	XCL1.4143.74.2	XCL1	True	XCL1
